iter	RMSE
0	14.89046926
1	14.58660558
2	14.3375227
3	14.07341729
4	13.83885244
5	13.60316602
6	13.39666207
7	13.18679485
8	12.99432208
9	12.82151585
10	12.65339866
11	12.50056386
12	12.35261836
13	12.20120895
14	12.06575413
15	11.92631006
16	11.78925935
17	11.6733335
18	11.56072565
19	11.45040036
20	11.34496647
21	11.23753532
22	11.14449696
23	11.0617733
24	10.97151415
25	10.88918957
26	10.81861086
27	10.75158372
28	10.67988024
29	10.61010043
30	10.54888285
31	10.48825407
32	10.42319423
33	10.36672535
34	10.31318223
35	10.2609891
36	10.20434351
37	10.15186049
38	10.1014686
39	10.05402215
40	10.01409178
41	9.971471717
42	9.917972194
43	9.882045534
44	9.842602936
45	9.801402106
46	9.772888577
47	9.742867629
48	9.715339276
49	9.679553613
50	9.647804105
51	9.61977629
52	9.589724833
53	9.562404197
54	9.537944551
55	9.508719504
56	9.478676856
57	9.453217747
58	9.431849185
59	9.40731603
60	9.385257498
61	9.354747047
62	9.326774509
63	9.298483774
64	9.276732297
65	9.254319632
66	9.227385404
67	9.207371472
68	9.189513204
69	9.169558388
70	9.148496894
71	9.128040584
72	9.11084973
73	9.08947206
74	9.067738072
75	9.047661684
76	9.042138727
77	9.019719904
78	9.004515412
79	8.989872918
80	8.975125959
81	8.961980878
82	8.949323167
83	8.932139087
84	8.913545851
85	8.898465835
86	8.876109206
87	8.856230974
88	8.84270418
89	8.828827718
90	8.811633316
91	8.800066007
92	8.784102898
93	8.768849269
94	8.754435543
95	8.738849671
96	8.716839616
97	8.702469796
98	8.685775834
99	8.670496999
100	8.649229551
101	8.638344521
102	8.623690394
103	8.614122744
104	8.60039908
105	8.584045741
106	8.567472533
107	8.558566267
108	8.545291305
109	8.531304459
110	8.519168738
111	8.506398502
112	8.49648355
113	8.488656805
114	8.476796987
115	8.458859802
116	8.447432383
117	8.435443113
118	8.422784943
119	8.409448855
120	8.395550223
121	8.385212339
122	8.378244572
123	8.368110827
124	8.356042461
125	8.346727208
126	8.333567589
127	8.322593815
128	8.311249658
129	8.3020671
130	8.290004439
131	8.27522361
132	8.26238363
133	8.251590685
134	8.242790866
135	8.231215292
136	8.223266886
137	8.212726911
138	8.204238322
139	8.19389411
140	8.183230829
141	8.170623135
142	8.157428742
143	8.14914418
144	8.137087905
145	8.128270838
146	8.122132921
147	8.112594041
148	8.102213224
149	8.092801319
150	8.0841075
151	8.075763168
152	8.065196866
153	8.057955653
154	8.052042152
155	8.042065357
156	8.034366688
157	8.0247038
158	8.01310756
159	8.004008193
160	7.996356601
161	7.988587797
