iter	Passed	Remaining
0	65	65003
1	126	63059
2	184	61436
3	248	61921
4	310	61793
5	379	62943
6	440	62512
7	503	62428
8	575	63400
9	644	63803
10	707	63589
11	779	64166
12	854	64850
13	943	66447
14	1008	66230
15	1075	66125
16	1149	66448
17	1218	66462
18	1281	66157
19	1344	65895
20	1408	65676
21	1469	65341
22	1535	65229
23	1608	65426
24	1674	65297
25	1738	65123
26	1808	65180
27	1880	65273
28	1942	65051
29	2010	65001
30	2073	64826
31	2145	64906
32	2215	64912
33	2283	64879
34	2354	64914
35	2431	65122
36	2496	64981
37	2562	64882
38	2629	64799
39	2702	64852
40	2769	64787
41	2838	64754
42	2905	64663
43	3012	65442
44	3140	66647
45	3233	67062
46	3310	67128
47	3415	67735
48	3540	68712
49	3628	68944
50	3925	73054
51	4149	75652
52	4334	77446
53	4516	79130
54	4672	80276
55	4751	80100
56	4844	80149
57	4934	80150
58	5022	80097
59	5098	79869
60	5189	79881
61	5275	79819
62	5357	79677
63	5434	79481
64	5522	79437
65	5605	79321
66	5691	79257
67	5774	79146
68	5886	79430
69	5963	79232
70	6212	81289
71	6405	82560
72	6693	84997
73	6830	85471
74	6991	86224
75	7158	87034
76	7227	86636
77	7313	86443
78	7405	86331
79	7499	86241
80	7594	86160
81	7681	85998
82	7793	86103
83	7996	87194
84	8103	87226
85	8202	87172
86	8308	87195
87	8414	87204
88	8590	87930
89	8733	88307
90	8892	88828
91	9099	89811
92	9240	90116
93	9462	91198
94	9640	91839
95	9824	92513
96	9921	92363
97	10048	92486
98	10167	92536
99	10256	92311
100	10351	92141
101	10436	91879
102	10521	91625
103	10602	91345
104	10689	91114
105	10785	90967
106	10871	90731
107	10956	90489
108	11045	90288
109	11144	90166
110	11258	90169
111	11370	90154
112	11471	90046
113	11568	89906
114	11654	89692
115	11747	89522
116	11847	89409
117	11951	89330
118	12048	89197
119	12129	88946
120	12209	88698
121	12291	88457
122	12368	88190
123	12449	87950
124	12555	87890
125	12638	87664
126	12724	87470
127	12805	87238
128	12884	86994
129	12974	86827
130	13055	86602
131	13139	86399
132	13227	86226
133	13314	86049
134	13403	85880
135	13490	85706
136	13576	85521
137	13655	85296
138	13738	85099
139	13822	84911
140	13900	84684
141	14004	84616
142	14098	84491
143	14191	84359
144	14306	84359
145	14410	84292
146	14517	84242
147	14630	84222
148	14736	84163
149	14822	83996
150	14896	83758
151	14969	83512
152	15061	83377
153	15129	83114
154	15211	82925
155	15295	82755
156	15370	82532
157	15450	82337
158	15669	82879
159	15853	83233
160	16016	83464
161	16139	83485
